feature1,feature2,nifedipine_correlation_mean,nifedipine_correlation_std,nifedipine_shapiro_p_value,nifedipine_is_normal,nifedipine_positive_proportion,nifedipine_negative_proportion,nifedipine_ci_95,nifedipine_correlated,nifedipine_correlation_type,e4031_correlation_mean,e4031_correlation_std,e4031_shapiro_p_value,e4031_is_normal,e4031_positive_proportion,e4031_negative_proportion,e4031_ci_95,e4031_correlated,e4031_correlation_type,ca_titration_correlation_mean,ca_titration_correlation_std,ca_titration_shapiro_p_value,ca_titration_is_normal,ca_titration_positive_proportion,ca_titration_negative_proportion,ca_titration_ci_95,ca_titration_correlated,ca_titration_correlation_type
force_peak_amplitude,duration,0.7637,0.0409,0.0,False,1.0,0.0,"(0.676, 0.833)",True,positive,0.5992,0.0935,0.0,False,1.0,0.0,"(0.389, 0.772)",True,positive,-0.763,0.0224,0.0,False,0.0,1.0,"(-0.804, -0.715)",True,negative
force_width_0.5 s,duration,0.8104,0.0354,0.0,False,1.0,0.0,"(0.738, 0.87)",True,positive,0.4315,0.099,0.0,False,1.0,0.0,"(0.221, 0.605)",True,positive,0.8212,0.0236,0.0,False,1.0,0.0,"(0.771, 0.861)",True,positive
force_width_0.5 s,force_peak_amplitude,0.9392,0.0111,0.0,False,1.0,0.0,"(0.916, 0.957)",True,positive,0.3658,0.1179,0.0015,False,0.997,0.003,"(0.117, 0.58)",True,positive,-0.7857,0.0224,0.0176,False,0.0,1.0,"(-0.825, -0.739)",True,negative
force_width_0.2 s,duration,0.8058,0.0374,0.0,False,1.0,0.0,"(0.725, 0.873)",True,positive,0.3683,0.1272,0.0,False,0.995,0.005,"(0.112, 0.588)",True,positive,0.8164,0.0256,0.0001,False,1.0,0.0,"(0.76, 0.861)",True,positive
force_width_0.2 s,force_peak_amplitude,0.9388,0.0133,0.0,False,1.0,0.0,"(0.908, 0.961)",True,positive,0.2485,0.1578,0.0,False,0.928,0.072,"(-0.086, 0.525)",False,inconclusive,-0.7676,0.026,0.0001,False,0.0,1.0,"(-0.814, -0.712)",True,negative
force_width_0.2 s,force_width_0.5 s,0.9692,0.0076,0.0,False,1.0,0.0,"(0.952, 0.98)",True,positive,0.5767,0.086,0.0,False,1.0,0.0,"(0.395, 0.726)",True,positive,0.938,0.008,0.0,False,1.0,0.0,"(0.92, 0.952)",True,positive
force_width_0.8 s,duration,0.8106,0.0334,0.0,False,1.0,0.0,"(0.741, 0.869)",True,positive,0.2757,0.1193,0.3827,True,0.988,0.012,"(0.045, 0.504)",True,positive,0.7682,0.0305,0.0,False,1.0,0.0,"(0.704, 0.825)",True,positive
force_width_0.8 s,force_peak_amplitude,0.9029,0.0173,0.0,False,1.0,0.0,"(0.864, 0.931)",True,positive,0.5168,0.1153,0.0,False,1.0,0.0,"(0.275, 0.716)",True,positive,-0.724,0.029,0.0,False,0.0,1.0,"(-0.774, -0.659)",True,negative
force_width_0.8 s,force_width_0.5 s,0.9557,0.0072,0.0,False,1.0,0.0,"(0.941, 0.968)",True,positive,0.3449,0.1178,0.224,True,0.997,0.003,"(0.092, 0.572)",True,positive,0.8651,0.0231,0.0,False,1.0,0.0,"(0.81, 0.903)",True,positive
force_width_0.8 s,force_width_0.2 s,0.943,0.0115,0.0,False,1.0,0.0,"(0.918, 0.962)",True,positive,0.4614,0.1305,0.0,False,0.997,0.003,"(0.189, 0.695)",True,positive,0.838,0.0266,0.0,False,1.0,0.0,"(0.78, 0.883)",True,positive
force_rise_time_0.2_0.8 s,duration,0.7538,0.0413,0.0001,False,1.0,0.0,"(0.665, 0.827)",True,positive,-0.3449,0.1151,0.0003,False,0.003,0.997,"(-0.56, -0.095)",True,negative,-0.2415,0.0745,0.9123,True,0.0,1.0,"(-0.387, -0.093)",True,negative
force_rise_time_0.2_0.8 s,force_peak_amplitude,0.8814,0.0287,0.0,False,1.0,0.0,"(0.815, 0.922)",True,positive,-0.5618,0.0818,0.0,False,0.0,1.0,"(-0.702, -0.38)",True,negative,0.5547,0.0549,0.0,False,1.0,0.0,"(0.439, 0.65)",True,positive
force_rise_time_0.2_0.8 s,force_width_0.5 s,0.9085,0.0202,0.0,False,1.0,0.0,"(0.863, 0.937)",True,positive,-0.3006,0.1227,0.2016,True,0.006,0.994,"(-0.531, -0.048)",True,negative,-0.3366,0.0678,0.125,True,0.0,1.0,"(-0.459, -0.196)",True,negative
force_rise_time_0.2_0.8 s,force_width_0.2 s,0.914,0.0125,0.0,False,1.0,0.0,"(0.886, 0.937)",True,positive,-0.1831,0.1228,0.7911,True,0.066,0.934,"(-0.43, 0.055)",False,inconclusive,-0.3332,0.0684,0.1805,True,0.0,1.0,"(-0.459, -0.2)",True,negative
force_rise_time_0.2_0.8 s,force_width_0.8 s,0.8932,0.0225,0.0,False,1.0,0.0,"(0.841, 0.924)",True,positive,-0.2006,0.1302,0.0001,False,0.068,0.932,"(-0.428, 0.067)",False,inconclusive,-0.2557,0.0703,0.7279,True,0.0,1.0,"(-0.39, -0.116)",True,negative
force_rise_time_0.8_max s,duration,0.6761,0.0535,0.0,False,1.0,0.0,"(0.559, 0.772)",True,positive,0.0621,0.127,0.0055,False,0.671,0.329,"(-0.176, 0.293)",False,inconclusive,0.2152,0.0702,0.1527,True,0.999,0.001,"(0.072, 0.343)",True,positive
force_rise_time_0.8_max s,force_peak_amplitude,0.8063,0.0269,0.0,False,1.0,0.0,"(0.748, 0.854)",True,positive,-0.0959,0.1305,0.8907,True,0.246,0.754,"(-0.352, 0.159)",False,inconclusive,-0.0153,0.0726,0.8223,True,0.421,0.579,"(-0.163, 0.126)",False,inconclusive
force_rise_time_0.8_max s,force_width_0.5 s,0.8321,0.0265,0.0,False,1.0,0.0,"(0.773, 0.88)",True,positive,-0.0403,0.1348,0.4904,True,0.39,0.61,"(-0.303, 0.237)",False,inconclusive,0.1622,0.071,0.3984,True,0.988,0.012,"(0.023, 0.303)",True,positive
force_rise_time_0.8_max s,force_width_0.2 s,0.8332,0.0267,0.0,False,1.0,0.0,"(0.776, 0.877)",True,positive,0.027,0.1336,0.2092,True,0.575,0.425,"(-0.226, 0.294)",False,inconclusive,0.1555,0.0701,0.1133,True,0.988,0.012,"(0.015, 0.291)",True,positive
force_rise_time_0.8_max s,force_width_0.8 s,0.8094,0.0304,0.0,False,1.0,0.0,"(0.745, 0.862)",True,positive,0.0436,0.1411,0.3566,True,0.622,0.378,"(-0.235, 0.314)",False,inconclusive,0.2784,0.0685,0.5267,True,1.0,0.0,"(0.142, 0.406)",True,positive
force_rise_time_0.8_max s,force_rise_time_0.2_0.8 s,0.7574,0.0416,0.0,False,1.0,0.0,"(0.67, 0.828)",True,positive,0.0666,0.1384,0.2982,True,0.685,0.315,"(-0.194, 0.319)",False,inconclusive,0.346,0.0616,0.061,True,1.0,0.0,"(0.228, 0.469)",True,positive
force_decay_time_max_0.8 s,duration,0.6536,0.0533,0.0002,False,1.0,0.0,"(0.543, 0.748)",True,positive,0.1004,0.1353,0.5065,True,0.776,0.224,"(-0.162, 0.362)",False,inconclusive,0.6855,0.0312,0.2217,True,1.0,0.0,"(0.622, 0.744)",True,positive
force_decay_time_max_0.8 s,force_peak_amplitude,0.785,0.0345,0.0001,False,1.0,0.0,"(0.714, 0.848)",True,positive,0.1233,0.1326,0.7194,True,0.822,0.178,"(-0.133, 0.366)",False,inconclusive,-0.7264,0.0344,0.0076,False,0.0,1.0,"(-0.79, -0.654)",True,negative
force_decay_time_max_0.8 s,force_width_0.5 s,0.8061,0.032,0.0,False,1.0,0.0,"(0.734, 0.863)",True,positive,0.0872,0.1286,0.6645,True,0.753,0.247,"(-0.171, 0.325)",False,inconclusive,0.8067,0.0203,0.0015,False,1.0,0.0,"(0.766, 0.843)",True,positive
force_decay_time_max_0.8 s,force_width_0.2 s,0.793,0.0352,0.0,False,1.0,0.0,"(0.718, 0.853)",True,positive,0.0185,0.1374,0.1552,True,0.561,0.439,"(-0.252, 0.271)",False,inconclusive,0.808,0.0204,0.0004,False,1.0,0.0,"(0.766, 0.847)",True,positive
force_decay_time_max_0.8 s,force_width_0.8 s,0.7916,0.0336,0.0,False,1.0,0.0,"(0.718, 0.851)",True,positive,0.0278,0.138,0.0026,False,0.586,0.414,"(-0.244, 0.283)",False,inconclusive,0.7481,0.0275,0.0003,False,1.0,0.0,"(0.691, 0.797)",True,positive
force_decay_time_max_0.8 s,force_rise_time_0.2_0.8 s,0.7611,0.0416,0.0,False,1.0,0.0,"(0.672, 0.833)",True,positive,-0.1273,0.123,0.2933,True,0.159,0.841,"(-0.355, 0.104)",False,inconclusive,-0.4725,0.0579,0.0892,True,0.0,1.0,"(-0.579, -0.351)",True,negative
force_decay_time_max_0.8 s,force_rise_time_0.8_max s,0.5955,0.0533,0.0002,False,1.0,0.0,"(0.483, 0.693)",True,positive,-0.1818,0.1313,0.0629,True,0.082,0.918,"(-0.435, 0.085)",False,inconclusive,-0.0847,0.0658,0.5727,True,0.104,0.896,"(-0.21, 0.046)",False,inconclusive
force_decay_time_0.2_0.8 s,duration,0.7311,0.0429,0.001,False,1.0,0.0,"(0.64, 0.812)",True,positive,0.3867,0.118,0.0021,False,1.0,0.0,"(0.146, 0.602)",True,positive,0.6766,0.028,0.4371,True,1.0,0.0,"(0.619, 0.729)",True,positive
force_decay_time_0.2_0.8 s,force_peak_amplitude,0.8402,0.0354,0.0,False,1.0,0.0,"(0.767, 0.901)",True,positive,0.5094,0.1177,0.0,False,1.0,0.0,"(0.249, 0.709)",True,positive,-0.6699,0.0451,0.0207,False,0.0,1.0,"(-0.755, -0.578)",True,negative
force_decay_time_0.2_0.8 s,force_width_0.5 s,0.8726,0.0317,0.0,False,1.0,0.0,"(0.808, 0.925)",True,positive,0.2936,0.1196,0.02,False,0.988,0.012,"(0.05, 0.513)",True,positive,0.7827,0.0217,0.0001,False,1.0,0.0,"(0.738, 0.824)",True,positive
force_decay_time_0.2_0.8 s,force_width_0.2 s,0.8998,0.0212,0.0,False,1.0,0.0,"(0.851, 0.935)",True,positive,0.4629,0.1259,0.0,False,0.997,0.003,"(0.183, 0.659)",True,positive,0.8316,0.0178,0.0001,False,1.0,0.0,"(0.794, 0.863)",True,positive
force_decay_time_0.2_0.8 s,force_width_0.8 s,0.8404,0.0352,0.0,False,1.0,0.0,"(0.763, 0.901)",True,positive,0.4383,0.124,0.0,False,0.999,0.001,"(0.161, 0.64)",True,positive,0.6442,0.0386,0.0001,False,1.0,0.0,"(0.561, 0.715)",True,positive
force_decay_time_0.2_0.8 s,force_rise_time_0.2_0.8 s,0.8159,0.0304,0.0,False,1.0,0.0,"(0.751, 0.87)",True,positive,-0.1663,0.1301,0.217,True,0.102,0.898,"(-0.414, 0.084)",False,inconclusive,-0.5213,0.0535,0.0002,False,0.0,1.0,"(-0.615, -0.41)",True,negative
force_decay_time_0.2_0.8 s,force_rise_time_0.8_max s,0.7422,0.0415,0.0,False,1.0,0.0,"(0.653, 0.817)",True,positive,-0.0621,0.1321,0.6721,True,0.317,0.683,"(-0.324, 0.205)",False,inconclusive,-0.1253,0.0649,0.3562,True,0.029,0.971,"(-0.247, 0.009)",False,inconclusive
force_decay_time_0.2_0.8 s,force_decay_time_max_0.8 s,0.6957,0.0506,0.0002,False,1.0,0.0,"(0.587, 0.786)",True,positive,0.0833,0.1374,0.0364,False,0.729,0.271,"(-0.203, 0.333)",False,inconclusive,0.7715,0.0253,0.0064,False,1.0,0.0,"(0.719, 0.818)",True,positive
calc_peak_amplitude,duration,0.4512,0.0771,0.001,False,1.0,0.0,"(0.281, 0.591)",True,positive,0.1062,0.131,0.6796,True,0.794,0.206,"(-0.148, 0.351)",False,inconclusive,-0.7987,0.019,0.3707,True,0.0,1.0,"(-0.834, -0.76)",True,negative
calc_peak_amplitude,force_peak_amplitude,0.5038,0.0728,0.0,False,1.0,0.0,"(0.346, 0.634)",True,positive,0.2483,0.1236,0.0001,False,0.971,0.029,"(-0.013, 0.469)",False,inconclusive,0.8533,0.0207,0.0,False,1.0,0.0,"(0.81, 0.89)",True,positive
calc_peak_amplitude,force_width_0.5 s,0.5032,0.0822,0.0,False,1.0,0.0,"(0.327, 0.65)",True,positive,-0.0962,0.1274,0.1199,True,0.232,0.768,"(-0.34, 0.158)",False,inconclusive,-0.7827,0.0232,0.0001,False,0.0,1.0,"(-0.823, -0.733)",True,negative
calc_peak_amplitude,force_width_0.2 s,0.5079,0.0791,0.0,False,1.0,0.0,"(0.342, 0.647)",True,positive,-0.1843,0.117,0.2995,True,0.063,0.937,"(-0.409, 0.049)",False,inconclusive,-0.8106,0.0209,0.0,False,0.0,1.0,"(-0.848, -0.765)",True,negative
calc_peak_amplitude,force_width_0.8 s,0.5026,0.0808,0.0,False,1.0,0.0,"(0.333, 0.652)",True,positive,-0.09,0.1344,0.2448,True,0.257,0.743,"(-0.336, 0.176)",False,inconclusive,-0.6708,0.0328,0.0,False,0.0,1.0,"(-0.729, -0.598)",True,negative
calc_peak_amplitude,force_rise_time_0.2_0.8 s,0.4785,0.0815,0.0,False,1.0,0.0,"(0.302, 0.617)",True,positive,-0.1149,0.1279,0.7805,True,0.187,0.813,"(-0.364, 0.132)",False,inconclusive,0.457,0.0612,0.0001,False,1.0,0.0,"(0.33, 0.566)",True,positive
calc_peak_amplitude,force_rise_time_0.8_max s,0.4178,0.0791,0.0,False,1.0,0.0,"(0.253, 0.558)",True,positive,-0.0268,0.1257,0.017,False,0.427,0.573,"(-0.27, 0.212)",False,inconclusive,0.0002,0.071,0.6418,True,0.504,0.496,"(-0.13, 0.136)",False,inconclusive
calc_peak_amplitude,force_decay_time_max_0.8 s,0.4086,0.0794,0.0,False,1.0,0.0,"(0.241, 0.546)",True,positive,0.0999,0.1345,0.8398,True,0.781,0.219,"(-0.163, 0.362)",False,inconclusive,-0.7255,0.0302,0.0094,False,0.0,1.0,"(-0.78, -0.664)",True,negative
calc_peak_amplitude,force_decay_time_0.2_0.8 s,0.392,0.0844,0.0034,False,1.0,0.0,"(0.217, 0.541)",True,positive,-0.1281,0.125,0.0452,False,0.154,0.846,"(-0.359, 0.119)",False,inconclusive,-0.7911,0.0288,0.0012,False,0.0,1.0,"(-0.843, -0.732)",True,negative
calc_width_0.5 s,duration,0.721,0.0459,0.0068,False,1.0,0.0,"(0.626, 0.804)",True,positive,-0.0932,0.1315,0.6991,True,0.247,0.753,"(-0.347, 0.161)",False,inconclusive,0.2905,0.0676,0.9534,True,1.0,0.0,"(0.161, 0.421)",True,positive
calc_width_0.5 s,force_peak_amplitude,0.901,0.0226,0.0,False,1.0,0.0,"(0.852, 0.938)",True,positive,-0.3256,0.1164,0.2768,True,0.004,0.996,"(-0.542, -0.094)",True,negative,0.0278,0.0703,0.7158,True,0.632,0.368,"(-0.106, 0.166)",False,inconclusive
calc_width_0.5 s,force_width_0.5 s,0.8757,0.0236,0.0,False,1.0,0.0,"(0.822, 0.916)",True,positive,0.3485,0.1187,0.0012,False,0.999,0.001,"(0.103, 0.563)",True,positive,0.3563,0.0654,0.0075,False,1.0,0.0,"(0.229, 0.483)",True,positive
calc_width_0.5 s,force_width_0.2 s,0.8752,0.0246,0.0,False,1.0,0.0,"(0.82, 0.918)",True,positive,0.425,0.1212,0.0,False,1.0,0.0,"(0.16, 0.633)",True,positive,0.3773,0.0657,0.0212,False,1.0,0.0,"(0.244, 0.503)",True,positive
calc_width_0.5 s,force_width_0.8 s,0.8331,0.0295,0.0,False,1.0,0.0,"(0.769, 0.882)",True,positive,0.0603,0.1245,0.4891,True,0.691,0.309,"(-0.189, 0.298)",False,inconclusive,0.285,0.0672,0.7026,True,1.0,0.0,"(0.154, 0.409)",True,positive
calc_width_0.5 s,force_rise_time_0.2_0.8 s,0.8328,0.035,0.0,False,1.0,0.0,"(0.755, 0.893)",True,positive,0.1783,0.124,0.2915,True,0.925,0.075,"(-0.083, 0.413)",False,inconclusive,0.1342,0.0688,0.9028,True,0.979,0.021,"(0.005, 0.269)",True,positive
calc_width_0.5 s,force_rise_time_0.8_max s,0.7471,0.0398,0.0,False,1.0,0.0,"(0.662, 0.815)",True,positive,-0.0361,0.1252,0.232,True,0.388,0.612,"(-0.269, 0.225)",False,inconclusive,0.1952,0.0651,0.2479,True,1.0,0.0,"(0.074, 0.321)",True,positive
calc_width_0.5 s,force_decay_time_max_0.8 s,0.7233,0.0441,0.0,False,1.0,0.0,"(0.631, 0.796)",True,positive,0.0651,0.1293,0.7711,True,0.705,0.295,"(-0.193, 0.31)",False,inconclusive,0.2202,0.0724,0.2329,True,0.999,0.001,"(0.081, 0.355)",True,positive
calc_width_0.5 s,force_decay_time_0.2_0.8 s,0.7967,0.0375,0.0,False,1.0,0.0,"(0.72, 0.862)",True,positive,0.077,0.1128,0.6546,True,0.748,0.252,"(-0.147, 0.295)",False,inconclusive,0.3275,0.069,0.1169,True,1.0,0.0,"(0.189, 0.452)",True,positive
calc_width_0.5 s,calc_peak_amplitude,0.4129,0.0783,0.0022,False,1.0,0.0,"(0.246, 0.553)",True,positive,-0.3111,0.1265,0.0267,False,0.01,0.99,"(-0.549, -0.068)",True,negative,-0.1687,0.0693,0.6343,True,0.009,0.991,"(-0.304, -0.037)",True,negative
calc_width_0.2 s,duration,0.4399,0.0779,0.0053,False,1.0,0.0,"(0.275, 0.58)",True,positive,-0.3491,0.1244,0.2311,True,0.002,0.998,"(-0.596, -0.1)",True,negative,0.1203,0.0717,0.1404,True,0.947,0.053,"(-0.027, 0.258)",False,inconclusive
calc_width_0.2 s,force_peak_amplitude,0.6517,0.0662,0.0,False,1.0,0.0,"(0.504, 0.769)",True,positive,-0.6554,0.0644,0.0,False,0.0,1.0,"(-0.762, -0.506)",True,negative,0.1869,0.0727,0.8479,True,0.997,0.003,"(0.045, 0.327)",True,positive
calc_width_0.2 s,force_width_0.5 s,0.6008,0.0712,0.0,False,1.0,0.0,"(0.449, 0.726)",True,positive,0.0891,0.13,0.1823,True,0.764,0.236,"(-0.178, 0.329)",False,inconclusive,0.1837,0.0669,0.1512,True,0.997,0.003,"(0.051, 0.31)",True,positive
calc_width_0.2 s,force_width_0.2 s,0.6012,0.0706,0.0001,False,1.0,0.0,"(0.455, 0.729)",True,positive,0.1951,0.1339,0.0002,False,0.916,0.084,"(-0.075, 0.44)",False,inconclusive,0.2301,0.0658,0.3156,True,0.999,0.001,"(0.099, 0.354)",True,positive
calc_width_0.2 s,force_width_0.8 s,0.5456,0.0733,0.0005,False,1.0,0.0,"(0.388, 0.677)",True,positive,-0.1205,0.1157,0.1653,True,0.146,0.854,"(-0.34, 0.115)",False,inconclusive,0.1745,0.0657,0.0017,False,0.995,0.005,"(0.037, 0.294)",True,positive
calc_width_0.2 s,force_rise_time_0.2_0.8 s,0.5783,0.0724,0.0,False,1.0,0.0,"(0.415, 0.708)",True,positive,0.339,0.1219,0.0001,False,0.994,0.006,"(0.089, 0.556)",True,positive,0.1918,0.0683,0.0154,False,0.994,0.006,"(0.056, 0.322)",True,positive
calc_width_0.2 s,force_rise_time_0.8_max s,0.4985,0.0708,0.0072,False,1.0,0.0,"(0.353, 0.634)",True,positive,0.0427,0.1234,0.9563,True,0.629,0.37,"(-0.195, 0.287)",False,inconclusive,0.1552,0.0648,0.4765,True,0.994,0.006,"(0.03, 0.278)",True,positive
calc_width_0.2 s,force_decay_time_max_0.8 s,0.504,0.0701,0.0081,False,1.0,0.0,"(0.362, 0.632)",True,positive,-0.0236,0.1328,0.8777,True,0.424,0.576,"(-0.298, 0.235)",False,inconclusive,0.0958,0.0688,0.0167,False,0.917,0.083,"(-0.034, 0.228)",False,inconclusive
calc_width_0.2 s,force_decay_time_0.2_0.8 s,0.5267,0.0737,0.0005,False,1.0,0.0,"(0.372, 0.662)",True,positive,-0.1353,0.1148,0.582,True,0.121,0.879,"(-0.359, 0.079)",False,inconclusive,0.2007,0.0684,0.388,True,0.997,0.003,"(0.07, 0.334)",True,positive
calc_width_0.2 s,calc_peak_amplitude,0.1507,0.0851,0.4787,True,0.96,0.04,"(-0.026, 0.315)",False,inconclusive,-0.3362,0.1182,0.0594,True,0.004,0.996,"(-0.557, -0.094)",True,negative,-0.0054,0.0715,0.6884,True,0.449,0.551,"(-0.147, 0.132)",False,inconclusive
calc_width_0.2 s,calc_width_0.5 s,0.6308,0.0676,0.0001,False,1.0,0.0,"(0.481, 0.75)",True,positive,0.7709,0.0656,0.0,False,1.0,0.0,"(0.616, 0.875)",True,positive,0.5856,0.0512,0.1235,True,1.0,0.0,"(0.479, 0.681)",True,positive
calc_width_0.8 s,duration,0.6906,0.0503,0.0001,False,1.0,0.0,"(0.584, 0.783)",True,positive,0.1731,0.1254,0.0273,False,0.909,0.091,"(-0.081, 0.409)",False,inconclusive,0.1965,0.0698,0.2593,True,0.995,0.005,"(0.053, 0.331)",True,positive
calc_width_0.8 s,force_peak_amplitude,0.8184,0.0352,0.0,False,1.0,0.0,"(0.744, 0.88)",True,positive,-0.0523,0.1374,0.7383,True,0.367,0.633,"(-0.318, 0.213)",False,inconclusive,0.0331,0.0699,0.3894,True,0.693,0.307,"(-0.11, 0.167)",False,inconclusive
calc_width_0.8 s,force_width_0.5 s,0.8237,0.0359,0.0,False,1.0,0.0,"(0.751, 0.883)",True,positive,0.4071,0.1181,0.0064,False,0.999,0.001,"(0.15, 0.631)",True,positive,0.2113,0.0703,0.7599,True,0.999,0.001,"(0.074, 0.35)",True,positive
calc_width_0.8 s,force_width_0.2 s,0.8175,0.0373,0.0,False,1.0,0.0,"(0.74, 0.882)",True,positive,0.4554,0.115,0.0,False,1.0,0.0,"(0.215, 0.658)",True,positive,0.2251,0.0698,0.4821,True,1.0,0.0,"(0.086, 0.364)",True,positive
calc_width_0.8 s,force_width_0.8 s,0.7924,0.0368,0.0,False,1.0,0.0,"(0.715, 0.856)",True,positive,0.0968,0.131,0.1202,True,0.773,0.227,"(-0.171, 0.343)",False,inconclusive,0.2072,0.0675,0.4212,True,0.999,0.001,"(0.068, 0.334)",True,positive
calc_width_0.8 s,force_rise_time_0.2_0.8 s,0.7829,0.0439,0.0,False,1.0,0.0,"(0.69, 0.858)",True,positive,-0.0528,0.1279,0.7704,True,0.332,0.668,"(-0.309, 0.197)",False,inconclusive,0.1735,0.0696,0.0391,False,0.993,0.007,"(0.038, 0.303)",True,positive
calc_width_0.8 s,force_rise_time_0.8_max s,0.6953,0.0475,0.0001,False,1.0,0.0,"(0.6, 0.78)",True,positive,0.0381,0.1277,0.1328,True,0.595,0.405,"(-0.202, 0.291)",False,inconclusive,0.2396,0.0652,0.6105,True,1.0,0.0,"(0.107, 0.361)",True,positive
calc_width_0.8 s,force_decay_time_max_0.8 s,0.697,0.0503,0.0001,False,1.0,0.0,"(0.589, 0.789)",True,positive,-0.0229,0.12,0.0025,False,0.433,0.567,"(-0.257, 0.208)",False,inconclusive,0.0908,0.0718,0.7252,True,0.894,0.106,"(-0.049, 0.231)",False,inconclusive
calc_width_0.8 s,force_decay_time_0.2_0.8 s,0.7454,0.0481,0.0,False,1.0,0.0,"(0.638, 0.831)",True,positive,0.0657,0.1312,0.7071,True,0.697,0.303,"(-0.194, 0.321)",False,inconclusive,0.1206,0.0719,0.3779,True,0.959,0.041,"(-0.015, 0.264)",False,inconclusive
calc_width_0.8 s,calc_peak_amplitude,0.3692,0.0822,0.0265,False,1.0,0.0,"(0.199, 0.518)",True,positive,0.0155,0.1308,0.0563,True,0.556,0.444,"(-0.261, 0.266)",False,inconclusive,-0.0728,0.0717,0.8329,True,0.149,0.851,"(-0.218, 0.068)",False,inconclusive
