drug,bct_id,concentration[um],duration,force_peak_amplitude,force_width_0.5 s,force_width_0.2 s,force_width_0.8 s,force_rise_time_0.2_0.8 s,force_rise_time_0.8_max s,force_decay_time_max_0.8 s,force_decay_time_0.2_0.8 s,calc_peak_amplitude,calc_width_0.5 s,calc_width_0.2 s,calc_width_0.8 s,calc_rise_time_0.2_0.8 s,calc_rise_time_0.8_max s,calc_decay_time_max_0.8 s,calc_decay_time_0.2_0.8 s,local_frequency[Hz]
ca_titration,1.20b_B01,4.0,0.44495454545454544,3.797636363636364,0.25,0.36,0.15,0.09,0.07,0.07727272727272728,0.11999999999999998,1.6303181818181818,0.504090909090909,0.8463636363636364,0.27,0.09045454545454545,0.0959090909090909,0.17454545454545453,0.485,0.42139515703149616
e4031,1.17b_B02,0.0,0.44478947368421057,4.280105263157895,0.29,0.4126315789473684,0.17,0.10263157894736843,0.08052631578947368,0.09210526315789473,0.13789473684210526,1.1490526315789473,0.558421052631579,0.9489473684210527,0.29684210526315785,0.10105263157894738,0.10263157894736842,0.1931578947368421,0.5521052631578948,0.3488536537664367
e4031,1.20b_B01,0.0,0.4195,3.6488333333333336,0.26583333333333337,0.3875,0.15333333333333332,0.1075,0.07250000000000001,0.08166666666666667,0.13,1.2843333333333333,0.5275,0.8941666666666667,0.28250000000000003,0.1025,0.09499999999999999,0.18583333333333332,0.5083333333333333,0.23713704021398463
nifedipine,1.28b_B02,0.0,0.44566666666666666,3.39325,0.24,0.3499999999999999,0.14,0.10000000000000002,0.06875,0.06875,0.11,0.8070416666666667,0.47500000000000003,0.7966666666666667,0.24833333333333332,0.10708333333333332,0.09499999999999999,0.15375,0.4395833333333334,0.4498666516296271
nifedipine,1.30b_B03,0.0,0.3994375,2.97225,0.23,0.33,0.13,0.099375,0.0675,0.064375,0.100625,1.3054999999999999,0.428125,0.73125,0.224375,0.09,0.08375,0.13875,0.41875,0.3022931794336033
e4031,1.17b_B02,0.003,0.4317272727272727,3.6927272727272724,0.23999999999999996,0.35,0.14,0.09181818181818181,0.06909090909090909,0.07090909090909091,0.11,1.1026363636363636,0.47454545454545455,0.81,0.2581818181818182,0.1,0.1,0.16,0.45272727272727276,0.2128630566636559
e4031,1.17b_B02,0.01,0.44045454545454543,3.8713636363636366,0.23999999999999996,0.3436363636363637,0.14,0.09818181818181819,0.06818181818181818,0.07,0.11,1.0292727272727271,0.4572727272727273,0.7727272727272727,0.24181818181818182,0.09363636363636364,0.09454545454545454,0.1490909090909091,0.43454545454545457,0.22348989280028225
e4031,1.17b_B02,0.03,0.5692222222222223,3.721333333333333,0.24000000000000002,0.35,0.14,0.09777777777777778,0.0688888888888889,0.07222222222222223,0.1111111111111111,1.011111111111111,0.4655555555555555,0.7722222222222223,0.2588888888888889,0.09444444444444444,0.09555555555555556,0.16555555555555557,0.41888888888888887,0.20965310004417032
e4031,1.20b_B01,0.003,0.4286923076923077,3.4775769230769233,0.23,0.33,0.13,0.1,0.06576923076923077,0.0676923076923077,0.10038461538461539,1.2257307692307693,0.4326923076923077,0.7369230769230769,0.23653846153846156,0.09923076923076923,0.09076923076923077,0.14576923076923076,0.4019230769230769,0.47954081282125127
e4031,1.20b_B01,0.01,0.45357142857142857,4.037714285714285,0.23,0.34,0.14,0.096,0.06742857142857143,0.06971428571428573,0.11,1.2393142857142856,0.42628571428571427,0.7091428571428572,0.23542857142857143,0.1002857142857143,0.09057142857142857,0.14457142857142857,0.37457142857142856,0.6234429472266895
e4031,1.20b_B01,0.03,0.528375,4.1650625,0.2396875,0.34,0.14,0.09,0.0665625,0.0709375,0.11,1.3079375,0.42843749999999997,0.6975,0.241875,0.098125,0.093125,0.1475,0.35812499999999997,0.5722335351233184
nifedipine,1.28b_B02,0.01,0.3861111111111111,3.6372222222222224,0.23000000000000004,0.3388888888888889,0.13,0.1,0.065,0.06666666666666668,0.10666666666666666,0.8744444444444445,0.44777777777777783,0.7705555555555557,0.23500000000000001,0.10444444444444445,0.09444444444444444,0.14,0.4305555555555556,0.3536328211915413
nifedipine,1.28b_B02,0.03,0.32626666666666665,3.4276,0.21,0.31,0.11999999999999998,0.09,0.06066666666666666,0.06333333333333332,0.1,0.7963333333333333,0.41466666666666663,0.7173333333333333,0.218,0.09733333333333333,0.08266666666666667,0.136,0.4033333333333333,0.28872190046632457
nifedipine,1.28b_B02,0.1,0.3124,3.256266666666667,0.21,0.304,0.11999999999999998,0.09,0.05999999999999999,0.05999999999999999,0.09666666666666666,0.7487333333333334,0.4086666666666667,0.702,0.214,0.09533333333333333,0.08600000000000001,0.12733333333333335,0.39266666666666666,0.30026722993311594
nifedipine,1.28b_B02,0.2,0.35210526315789475,3.01,0.2,0.29105263157894734,0.12,0.09,0.056315789473684215,0.06,0.09,0.7009473684210527,0.3973684210526316,0.6857894736842106,0.21052631578947367,0.09157894736842105,0.08421052631578947,0.12736842105263158,0.3815789473684211,0.35812452311886955
nifedipine,1.28b_B02,0.3,0.3515625,2.5754375,0.19,0.28,0.11,0.08,0.055,0.05625,0.09,0.614125,0.386875,0.660625,0.20125,0.08875,0.079375,0.12187500000000001,0.371875,0.3890401828540493
nifedipine,1.28b_B02,0.5,0.31326315789473685,2.3114736842105263,0.19,0.28,0.10999999999999999,0.08,0.05421052631578947,0.05526315789473685,0.09,0.5556315789473685,0.3836842105263158,0.6652631578947369,0.1968421052631579,0.08736842105263158,0.07736842105263157,0.12105263157894736,0.38105263157894737,0.3957774432368762
nifedipine,1.28b_B02,4.0,0.2354375,0.51690625,0.16125,0.2428125,0.090625,0.07,0.0465625,0.048125,0.08,0.12921875,0.350625,0.684375,0.175,0.08625000000000001,0.064375,0.11,0.42312500000000003,0.6391268004554795
nifedipine,1.28b_B02,20.0,0.41317241379310343,3.364,0.24,0.35,0.14,0.1,0.0696551724137931,0.0696551724137931,0.12,0.3973103448275862,0.4331034482758621,0.7262068965517241,0.23758620689655172,0.1110344827586207,0.11689655172413793,0.12103448275862069,0.37655172413793103,0.544840001112191
nifedipine,1.30b_B03,0.01,0.37725000000000003,3.0821875,0.22,0.32,0.13,0.09,0.0625,0.065625,0.1,1.2764375,0.411875,0.705,0.22125,0.09,0.078125,0.141875,0.395625,0.31738253202446176
nifedipine,1.30b_B03,0.03,0.36412500000000003,3.069,0.21687499999999998,0.31,0.125625,0.09,0.0625,0.061875,0.1,1.3126875,0.40625,0.691875,0.21625,0.084375,0.078125,0.13875,0.390625,0.30123794804946885
nifedipine,1.30b_B03,0.1,0.33353846153846156,2.715384615384615,0.2,0.3,0.12000000000000001,0.09,0.05692307692307692,0.060000000000000005,0.09,1.193,0.38846153846153847,0.666923076923077,0.2053846153846154,0.08230769230769232,0.07230769230769231,0.13153846153846155,0.3807692307692308,0.287210260814485
nifedipine,1.30b_B03,0.2,0.31672727272727275,2.359,0.18999999999999997,0.28909090909090907,0.11,0.08,0.056363636363636366,0.05545454545454545,0.09,1.0905454545454545,0.38181818181818183,0.6627272727272727,0.2,0.08,0.07090909090909091,0.12727272727272726,0.3845454545454546,0.23324352509551483
nifedipine,1.30b_B03,0.3,0.8151999999999999,2.0003,0.19,0.28,0.11000000000000001,0.08,0.053000000000000005,0.05600000000000001,0.09,0.9465999999999999,0.373,0.642,0.194,0.079,0.07,0.126,0.371,0.2457021629147203
nifedipine,1.30b_B03,0.5,0.284,1.7557333333333331,0.18,0.2700000000000001,0.10600000000000001,0.08,0.050666666666666665,0.054000000000000006,0.08266666666666667,0.888,0.36466666666666664,0.6346666666666666,0.19266666666666668,0.078,0.06933333333333333,0.12466666666666668,0.3653333333333333,0.30760520234114985
nifedipine,1.30b_B03,1.0,0.27978947368421053,1.2914736842105263,0.18,0.27,0.10105263157894738,0.08,0.05157894736842105,0.05368421052631579,0.08526315789473683,0.6831578947368421,0.378421052631579,0.6610526315789474,0.2031578947368421,0.08,0.07421052631578948,0.12894736842105264,0.3794736842105263,0.3562986284558416
nifedipine,1.30b_B03,4.0,0.22966666666666666,0.2207083333333333,0.15666666666666665,0.23208333333333334,0.09000000000000001,0.07,0.043750000000000004,0.045000000000000005,0.07583333333333334,0.25995833333333335,0.3229166666666667,0.6216666666666667,0.16166666666666665,0.07958333333333334,0.06166666666666667,0.10041666666666667,0.38125000000000003,0.4641835971058769
nifedipine,1.30b_B03,10.0,0.22144444444444444,0.04011111111111111,0.15666666666666668,0.24555555555555555,0.09000000000000001,0.06666666666666667,0.04111111111111111,0.04777777777777778,0.08666666666666667,0.08833333333333332,0.30000000000000004,0.6155555555555555,0.14,0.08666666666666667,0.05222222222222222,0.08666666666666667,0.39222222222222225,0.2964573593790677
nifedipine,1.30b_B03,20.0,0.349,2.968,0.24,0.34,0.14,0.09,0.07,0.07,0.11,1.066,0.39,0.64,0.21,0.08,0.08,0.13,0.35,0.2686270998760235
ca_titration,1.13b_B19,0.1,0.5987750000000001,0.0615,0.318,0.45599999999999996,0.17125,0.08349999999999999,0.06525,0.10600000000000001,0.20049999999999998,0.06545,0.46775,0.8432499999999999,0.2045,0.22625,0.10500000000000001,0.10075,0.4105,0.7434662179171946
ca_titration,1.13b_B19,0.4,0.6306285714285714,0.8722857142857143,0.27942857142857147,0.39257142857142857,0.16885714285714287,0.10857142857142857,0.08457142857142858,0.08314285714285714,0.12000000000000001,0.2798857142857143,0.47828571428571426,0.7837142857142857,0.26857142857142857,0.1302857142857143,0.128,0.14057142857142857,0.3848571428571429,0.6241441937036227
ca_titration,1.13b_B19,0.6,0.5551111111111111,1.4082222222222223,0.26,0.3733333333333333,0.15111111111111108,0.11,0.07888888888888888,0.07444444444444445,0.11,0.2891111111111111,0.48444444444444446,0.7933333333333334,0.2611111111111111,0.1388888888888889,0.12555555555555556,0.1388888888888889,0.3933333333333333,0.48912390254080595
ca_titration,1.13b_B19,1.0,0.5495882352941176,2.050205882352941,0.24294117647058822,0.3514705882352941,0.14,0.1,0.0711764705882353,0.07205882352941177,0.11,0.5397941176470589,0.4379411764705883,0.725,0.23617647058823527,0.10852941176470587,0.10088235294117648,0.135,0.37970588235294117,0.6132540934170445
ca_titration,1.13b_B19,1.5,0.5066451612903227,2.4372580645161293,0.2303225806451613,0.34,0.14,0.1,0.06806451612903226,0.06870967741935485,0.10935483870967742,0.609741935483871,0.43032258064516127,0.7277419354838709,0.23451612903225805,0.10193548387096775,0.09548387096774194,0.13870967741935483,0.39064516129032256,0.55340073381879
ca_titration,1.13b_B19,2.0,0.42172,2.90072,0.25,0.36,0.1452,0.1,0.0704,0.07600000000000001,0.11560000000000001,0.8300799999999999,0.47119999999999995,0.8108,0.24760000000000001,0.1,0.0964,0.1508,0.4648,0.47318755321823447
ca_titration,1.20b_B01,0.2,0.5172244897959184,0.2413877551020408,0.2602040816326531,0.3689795918367347,0.15285714285714286,0.08326530612244898,0.06551020408163265,0.08734693877551021,0.13224489795918368,0.22871428571428573,0.4265306122448979,0.6895918367346938,0.2338775510204082,0.1279591836734694,0.12081632653061225,0.11061224489795918,0.3283673469387755,0.866972209877111
ca_titration,1.20b_B01,0.4,0.517936170212766,0.8262127659574469,0.2580851063829787,0.36127659574468085,0.15617021276595744,0.09595744680851064,0.07510638297872341,0.08063829787234042,0.11,0.5455319148936171,0.4276595744680851,0.6804255319148936,0.24170212765957447,0.11978723404255319,0.11851063829787235,0.1225531914893617,0.3170212765957447,0.8318239139214454
ca_titration,1.20b_B01,0.6,0.4723783783783784,1.4955405405405406,0.2462162162162162,0.35,0.1472972972972973,0.10135135135135136,0.07540540540540541,0.07108108108108109,0.1,0.7469189189189189,0.42405405405405405,0.7089189189189189,0.23459459459459459,0.11891891891891893,0.10432432432432433,0.12972972972972974,0.3562162162162162,0.6802355176953665
ca_titration,1.20b_B01,0.8,0.43925641025641027,1.952846153846154,0.23179487179487182,0.34,0.14,0.1,0.07,0.06615384615384616,0.1,0.9091794871794872,0.4133333333333334,0.6876923076923077,0.22615384615384615,0.10923076923076923,0.09666666666666666,0.12974358974358977,0.35358974358974354,0.6874341773707451
ca_titration,1.20b_B01,1.0,0.3963055555555555,2.3681666666666668,0.22583333333333336,0.32972222222222225,0.13,0.1,0.06666666666666668,0.06444444444444446,0.1,0.9855,0.4083333333333333,0.6827777777777778,0.22277777777777777,0.10611111111111111,0.09444444444444444,0.12861111111111112,0.3530555555555555,0.6650472205979474
ca_titration,1.20b_B01,1.5,0.44042424242424244,2.79969696969697,0.22,0.326969696969697,0.13,0.0996969696969697,0.06575757575757575,0.06454545454545454,0.1,1.2168181818181818,0.4212121212121212,0.6981818181818181,0.22848484848484849,0.10060606060606062,0.08848484848484849,0.1403030303030303,0.3687878787878788,0.6021189698046243
ca_titration,1.20b_B01,2.0,0.427625,3.351625,0.2396875,0.345625,0.14,0.09968750000000001,0.066875,0.0709375,0.11,1.523375,0.455625,0.7778125,0.239375,0.0934375,0.085625,0.1540625,0.443125,0.5888337091215191
